time,open,high,low,close,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
1745625600,94638.68,95199,93870.69,94628,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1745712000,94628,95369,93602.58,93749.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1745798400,93749.29,95630,92800.01,95011.18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1745884800,95011.18,95461.53,93742.54,94256.82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1745971200,94256.82,95228.45,92910,94172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746057600,94172,97424.02,94130.43,96489.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746144000,96489.9,97895.68,96350,96887.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746230400,96887.13,96935.67,95753.01,95856.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746316800,95856.42,96304.48,94151.38,94277.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746403200,94277.61,95199,93514.1,94733.68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1746489600,94733.68,96920.65,93377,96834.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746576000,96834.02,97732,95784.61,97030.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746662400,97030.5,104145.76,96876.29,103261.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746748800,103261.61,104361.3,102315.14,102971.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746835200,102971.99,104984.57,102818.76,104809.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746921600,104809.53,104972,103345.06,104118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1747008000,104118,105819.45,100718.37,102791.32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1747094400,102791.32,104976.25,101429.7,104103.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1747180800,104103.72,104356.95,102602.05,103507.82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1747267200,103507.83,104192.7,101383.07,103763.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
